user_id,coupon_id,view_count,total_view_duration,request_count,usage_count,interaction_score
U0001,CP0002,1,104,0,0,1
U0001,CP0333,1,99,0,0,1
U0001,CP1087,1,268,0,0,1
U0001,CP1566,0,0,0,1,5
U0001,CP1588,1,8,0,0,1
U0001,CP1768,0,0,1,0,3
U0001,CP1862,1,297,0,0,1
U0001,CP2036,0,0,1,0,3
U0001,CP2144,0,0,1,0,3
U0001,CP2186,1,24,0,0,1
U0001,CP2202,1,260,0,0,1
U0001,CP2280,0,0,0,1,5
U0001,CP2303,1,254,0,0,1
U0002,CP0151,0,0,1,0,3
U0002,CP0366,0,0,1,0,3
U0002,CP0370,1,300,0,0,1
U0002,CP0520,1,73,0,0,1
U0002,CP0540,1,173,0,0,1
U0002,CP0634,1,210,0,0,1
U0002,CP0698,1,68,0,0,1
U0002,CP0699,1,77,0,0,1
U0002,CP0744,1,111,0,0,1
U0002,CP0809,1,147,0,0,1
U0002,CP1054,0,0,0,1,5
U0002,CP1140,0,0,0,1,5
U0002,CP1361,1,229,0,0,1
U0002,CP1368,1,294,0,0,1
U0002,CP1385,0,0,0,1,5
U0002,CP1468,1,290,0,0,1
U0002,CP1652,0,0,0,1,5
U0002,CP1761,0,0,1,0,3
U0002,CP1874,0,0,1,0,3
U0002,CP1888,1,212,0,0,1
U0002,CP1991,1,66,0,0,1
U0002,CP2032,1,31,0,0,1
U0002,CP2084,0,0,0,1,5
U0002,CP2308,1,216,0,0,1
U0003,CP0276,1,8,0,0,1
U0003,CP0307,1,203,0,0,1
U0003,CP0365,1,110,0,0,1
U0003,CP0443,1,231,0,0,1
U0003,CP0620,1,285,0,0,1
U0003,CP0727,0,0,0,1,5
U0003,CP0737,1,242,0,0,1
U0003,CP0748,1,204,0,0,1
U0003,CP1184,1,114,0,0,1
U0003,CP1540,0,0,1,0,3
U0003,CP1565,1,228,0,0,1
U0003,CP1586,1,203,0,0,1
U0003,CP1679,1,289,0,0,1
U0003,CP1830,1,34,0,0,1
U0003,CP1897,0,0,0,1,5
U0003,CP2376,1,138,0,0,1
U0004,CP0058,0,0,1,0,3
U0004,CP0095,1,230,0,0,1
U0004,CP0138,1,35,0,0,1
U0004,CP0344,0,0,1,0,3
U0004,CP0466,0,0,1,0,3
U0004,CP0501,1,257,0,0,1
U0004,CP0540,0,0,0,1,5
U0004,CP0727,1,257,0,0,1
U0004,CP0758,1,232,0,0,1
U0004,CP0859,1,90,0,0,1
U0004,CP0890,1,72,0,0,1
U0004,CP0939,1,273,0,0,1
U0004,CP1097,1,298,0,0,1
U0004,CP1108,1,273,0,0,1
U0004,CP1116,0,0,0,1,5
U0004,CP1117,1,61,0,0,1
U0004,CP1124,1,31,0,0,1
U0004,CP1797,1,169,0,0,1
U0004,CP1801,1,62,0,0,1
U0004,CP1842,0,0,1,0,3
U0004,CP2011,1,119,0,0,1
U0004,CP2047,1,15,0,0,1
U0004,CP2085,0,0,1,0,3
U0004,CP2184,0,0,0,1,5
U0004,CP2262,0,0,0,1,5
U0004,CP2394,1,144,0,0,1
U0005,CP0072,1,11,0,0,1
U0005,CP0097,1,14,0,0,1
U0005,CP0204,1,298,0,0,1
U0005,CP0775,0,0,0,1,5
U0005,CP0867,1,273,0,0,1
U0005,CP1152,1,112,0,0,1
U0005,CP1205,1,49,0,0,1
U0005,CP1309,1,134,0,0,1
U0005,CP1557,0,0,1,0,3
U0005,CP1854,1,12,0,0,1
U0005,CP1920,0,0,1,0,3
U0005,CP2156,1,200,0,0,1
U0005,CP2290,0,0,1,0,3
U0005,CP2370,0,0,1,0,3
U0005,CP2387,1,171,0,0,1
U0006,CP0399,1,118,0,0,1
U0006,CP0470,0,0,1,0,3
U0006,CP0559,1,123,0,0,1
U0006,CP0583,1,136,0,0,1
U0006,CP0696,1,186,0,0,1
U0006,CP0811,1,214,0,0,1
U0006,CP0812,1,278,0,0,1
U0006,CP1463,0,0,1,0,3
U0006,CP1754,0,0,0,1,5
U0006,CP1818,0,0,1,0,3
U0006,CP1873,1,226,0,0,1
U0006,CP1905,1,288,0,0,1
U0006,CP2021,1,266,0,0,1
U0006,CP2425,1,61,0,0,1
U0006,CP2488,1,17,0,0,1
U0007,CP0016,0,0,0,1,5
U0007,CP0067,0,0,0,1,5
U0007,CP0147,1,38,0,0,1
U0007,CP0165,1,24,0,0,1
U0007,CP0443,0,0,0,1,5
U0007,CP1518,1,279,0,0,1
U0007,CP1767,1,215,0,0,1
U0007,CP1852,1,207,0,0,1
U0007,CP1906,1,79,0,0,1
U0007,CP1957,1,56,0,0,1
U0007,CP1986,0,0,0,1,5
U0007,CP2006,1,239,0,0,1
U0007,CP2082,0,0,1,0,3
U0007,CP2158,1,292,0,0,1
U0007,CP2297,0,0,0,1,5
U0008,CP0079,0,0,1,0,3
U0008,CP0084,0,0,0,1,5
U0008,CP0102,0,0,1,0,3
U0008,CP0474,1,112,0,0,1
U0008,CP0480,1,191,0,0,1
U0008,CP0597,0,0,1,0,3
U0008,CP0688,1,250,0,0,1
U0008,CP0784,1,118,0,0,1
U0008,CP0788,1,289,0,0,1
U0008,CP0876,1,278,0,0,1
U0008,CP0960,1,266,0,0,1
U0008,CP1254,1,253,0,0,1
U0008,CP1295,1,181,0,0,1
U0008,CP1315,1,187,0,0,1
U0008,CP1445,0,0,1,0,3
U0008,CP1550,1,263,0,0,1
U0008,CP1776,1,195,0,0,1
U0008,CP1835,1,153,0,0,1
U0008,CP2066,1,258,0,0,1
U0008,CP2162,1,162,0,0,1
U0008,CP2188,1,265,0,0,1
U0008,CP2235,1,142,0,0,1
U0008,CP2294,1,30,0,0,1
U0009,CP0057,0,0,1,0,3
U0009,CP0161,1,167,0,0,1
U0009,CP0186,0,0,0,1,5
U0009,CP0315,0,0,0,1,5
U0009,CP0325,1,65,0,0,1
U0009,CP0338,1,82,0,0,1
U0009,CP0871,0,0,0,1,5
U0009,CP0889,0,0,1,0,3
U0009,CP1088,1,184,0,0,1
U0009,CP1200,1,95,0,0,1
U0009,CP1638,1,245,0,0,1
U0009,CP1857,0,0,1,0,3
U0009,CP1910,1,26,0,0,1
U0009,CP2235,1,44,0,0,1
U0009,CP2429,0,0,0,1,5
U0010,CP0251,1,127,0,0,1
U0010,CP0339,1,270,0,0,1
U0010,CP0348,1,245,0,0,1
U0010,CP0429,1,248,0,0,1
U0010,CP0833,0,0,0,1,5
U0010,CP0953,1,104,0,0,1
U0010,CP1171,1,140,0,0,1
U0010,CP1336,1,18,0,0,1
U0010,CP1533,0,0,1,0,3
U0010,CP1670,0,0,0,1,5
U0010,CP1910,0,0,0,1,5
U0010,CP1953,1,249,0,0,1
U0010,CP1999,0,0,1,0,3
U0010,CP2070,1,118,0,0,1
U0010,CP2145,1,193,0,0,1
U0010,CP2195,1,278,0,0,1
U0010,CP2329,1,285,0,0,1
U0010,CP2371,0,0,1,0,3
U0010,CP2445,1,65,0,0,1
U0011,CP0181,1,16,0,0,1
U0011,CP0395,1,200,0,0,1
U0011,CP0622,0,0,1,0,3
U0011,CP0642,1,132,0,0,1
U0011,CP0663,0,0,0,1,5
U0011,CP0841,0,0,1,0,3
U0011,CP0978,1,32,0,0,1
U0011,CP1235,0,0,1,0,3
U0011,CP1518,1,255,0,0,1
U0011,CP1527,1,125,0,0,1
